Time Taken,Nodes Visited,Algorithm Depth,Best Moves Count,Cakes Count,Score
0.19606841204222292,"(1, 0, 1)",2,3,20,0
0.2210280090221204,460,2,2,20,0
0.09045069600688294,129,2,2,20,0
0.21746088500367478,140,2,2,20,0
0.5058426109608263,286,2,2,20,10
0.23693186102900654,79,2,2,20,10
0.28648418199736625,149,2,2,20,40
0.4428209289908409,373,2,2,20,70
0.11582096898928285,102,2,2,20,70
0.18401083897333592,103,2,2,20,70
0.19468595000216737,276,2,2,20,100
0.06157790095312521,99,2,2,20,120
0.09028342296369374,103,2,2,20,120
0.14891300402814522,201,2,2,20,130
0.06382626504637301,53,2,2,20,130
0.07767773099476472,100,2,2,20,160
0.1803764560027048,199,2,2,20,170
0.06450806400971487,53,2,2,20,170
0.1307253079721704,71,2,2,20,200
0.11618317099055275,77,2,2,20,210
0.00014596997061744332,1,2,0,20,250
2.1185695489984937,3484,3,3,20,0
3.027822545962408,2169,3,3,20,0
2.780683512974065,1632,3,3,20,0
3.530942677985877,1794,3,3,20,10
1.9893959760083817,1144,3,3,20,10
2.625514231971465,1903,3,3,20,40
2.35778856696561,2639,3,3,20,70
2.0419695199816488,1524,3,3,20,70
1.5096566330175847,1029,3,3,20,70
1.2072498879861087,1580,3,3,20,100
1.0248887990019284,1377,3,3,20,120
0.6793381840107031,963,3,3,20,120
0.7528332699439488,957,3,3,20,130
0.43597099400358275,497,3,3,20,130
0.3816357370233163,291,3,3,20,130
1.0440257860464044,552,3,3,20,160
0.5603562269825488,374,3,3,20,170
0.2873798279906623,198,3,3,20,190
8.877000072970986e-05,1,3,0,20,250
364.3888455629931,58708,4,4,20,0
78.33794222702272,24385,4,4,20,0
20.931276660005096,9409,4,4,20,0
80.53319366299547,25947,4,4,20,10
22.54641910700593,13245,4,4,20,30
8.580942152999341,5153,4,4,20,30
109.49872290698113,31025,4,4,20,60
19.455208447005134,11315,4,4,20,60
4.611348234000616,2857,4,4,20,60
13.652438757009804,9813,4,4,20,90
5.086556774040218,2744,4,4,20,90
1.3291385730262846,704,4,4,20,90
4.088914792984724,3121,4,4,20,100
1.8294364080065861,1158,4,4,20,100
1.0119420739938505,651,4,4,20,100
7.72055134200491,3853,4,4,20,160
2.0678670069901273,891,4,4,20,160
6.767798913642764e-05,1,4,0,20,250
